SDN,pH_1,pH_2,pH_3,pH_4,pH_5,pH_6,pH_7,pH_8,TC_1,TC_2,TC_3,TC_4,TC_5,TC_6,TC_7,TC_8,DeSpike_1,DeSpike_2,DeSpike_3,DeSpike_4,DeSpike_5,DeSpike_6,DeSpike_7,DeSpike_8
737682.104166667,8.00902199849125,7.88380299998659,7.85372699999665,7.70695300074767,7.66103199549388,7.72256400152216,7.447865,8.27455866972551,12.1926863324806,11.9559703365308,11.82024,11.545139,11.4251189915041,11.5518213275822,11.0511143346968,12.9896963339089,0,0,0,0,0,0,0,0
737682.114583333,8.0121839969758,7.89581866894096,7.85155133180335,7.70608966139723,7.65927333032143,7.72056999700933,7.44910566283222,8.27527300079796,12.1909523314413,12.0021426677071,11.7919489933917,11.5360459982566,11.4105743304723,11.5448073337044,10.9905843348343,12.9845533281321,0,0,0,0,0,0,0,0
737682.125,8.0106745,7.9093665,7.8528755,7.711045,7.6581245,7.725836,7.417441,8.2748215,12.1743585,12.00457,11.778198,11.506464,11.384109,11.514282,10.9850045,12.9838735,0,0,0,0,0,0,0,0
737682.135416667,7.99608250002263,7.91123999488536,7.84703650171242,7.70666550170739,7.65637550853194,7.71838750170236,7.42272852071756,8.26955800343491,12.0980469936582,11.9626085003847,11.7020855016772,11.4231129968819,11.2937944927203,11.4363534960949,10.8920209923456,12.9482040009404,0,0,0,0,0,0,0,0
737682.145833333,8.008095,7.900738,7.846531,7.704808,7.659981,7.717929,7.448045,8.271488,12.142452,11.960583,11.741997,11.465466,11.336685,11.467735,10.939556,12.969036,0,0,0,0,0,0,0,0
737682.15625,8.0085433295693,7.88163199924898,7.85580632874788,7.71118532655518,7.6570216628937,7.7201516666689,7.43701667510109,8.27050233563109,12.087240661918,11.9341516653278,11.648243,11.388763,11.2678286643354,11.4128203327745,10.8245606696428,12.9038583324627,0,0,0,0,0,0,0,0
737682.166666667,8.001305,7.901446,7.851937,7.712802,7.65312,7.72055,7.451421,8.271486,12.144665,11.955307,11.757748,11.487888,11.360317,11.489136,10.973652,12.967983,0,0,0,0,0,0,0,0
737682.177083333,8.01960699659024,7.90654599829512,7.84812300344496,7.71301250675666,7.66371599149069,7.72207850675666,7.45636349656258,8.26939598798035,12.1407184891697,11.9499984983027,11.6869449979934,11.4363460049789,11.3224579830116,11.4382630025498,10.8869974912518,12.9172764960949,0,0,0,0,0,0,0,0
737682.1875,8.013105,7.884796,7.844368,7.706676,7.663018,7.72039,7.466811,8.270069,12.073029,11.890274,11.602356,11.339024,11.226658,11.346462,10.79665,12.86097,0,0,0,0,0,0,0,0
737682.197916667,8.01542333410223,7.90723333477278,7.84491767279104,7.7088003378372,7.65676667272398,7.71286500150203,7.43918666820111,8.26451000154227,12.0606826641175,11.8152540178668,11.5787036650898,11.3123726708062,11.2060853310445,11.3199383332439,10.7544666677921,12.8363506642281,0,0,0,0,0,0,0,0
737682.208333333,8.020885,7.895308,7.832375,7.707652,7.657213,7.71403,7.466283,8.253403,11.995274,11.800495,11.522007,11.263081,11.135899,11.244648,10.700207,12.787346,0,0,0,0,0,0,0,0
737682.21875,8.008871,7.890946,7.816195,7.707237,7.657393,7.716945,7.477407,8.249662,11.950096,11.708027,11.46151,11.197605,11.079494,11.181694,10.621105,12.721901,0,0,0,0,0,0,0,0
737682.229166667,8.01679550511715,7.89315049146806,7.81891851205234,7.70205851017144,7.64369950511212,7.70303600680443,7.44626101209509,8.24041100349525,11.917789,11.748669,11.374847519586,11.1463964986949,11.019688,11.122154,10.5526770028012,12.6646044909249,0,0,0,0,0,0,0,0
