SDN,pH_1,pH_2,pH_3,pH_4,pH_5,pH_6,pH_7,pH_8,TC_1,TC_2,TC_3,TC_4,TC_5,TC_6,TC_7,TC_8,DeSpike_1,DeSpike_2,DeSpike_3,DeSpike_4,DeSpike_5,DeSpike_6,DeSpike_7,DeSpike_8
737964.752465278,7.80530466667896,7.70720366278641,7.64804000081137,7.60214666510987,7.56738899247977,7.50662899547043,7.41623698931476,8.25394066667226,12.6693789961075,12.3376566866782,12.2488276603054,12.0205179978341,12.0372999987729,11.6777316631284,10.6785519983035,14.0750689984141,1,0,1,1,0,0,0,0
737964.762881944,7.797783,7.691786,7.667802,7.598995,7.564194,7.497046,7.40368,8.253185,12.700134,12.386272,12.332493,12.060738,12.049809,11.717682,10.698414,14.091667,0,1,1,1,1,0,1,0
737964.773298611,7.801761,7.693147,7.639497,7.598874,7.561996,7.511105,7.40694,8.246817,12.720123,12.388927,12.297874,12.091099,12.089493,11.754299,10.791019,14.148262,0,1,1,1,0,1,1,0
737964.783715278,7.80205849148817,7.68828704136974,7.66878350166213,7.60736249827752,7.55091699847617,7.52009149483255,7.41143252917658,8.24891099656509,12.7316590119694,12.4165494848246,12.3408985098345,12.1121689995675,12.0843884627617,11.7929210223797,10.7590485100709,14.1353515053233,1,0,1,1,0,1,0,0
737964.794131944,7.805555,7.710848,7.666203,7.612935,7.552318,7.519526,7.40493,8.250874,12.793396,12.421902,12.390266,12.175343,12.14753,11.860641,10.770931,14.146042,1,0,1,1,1,1,1,0
737964.804548611,7.79723250511212,7.68838497260122,7.64106949488788,7.60722649482753,7.56887200171997,7.49889451357114,7.40865702919921,8.25385200517499,12.7623824934948,12.3781734511746,12.3269460004224,12.1461105004199,12.1312464931981,11.7716695034827,10.7852479931905,14.166389486283,0,1,1,1,0,0,0,0
737964.814965278,7.797022,7.691952,7.669945,7.612573,7.548056,7.505095,7.399363,8.256893,12.725616,12.325497,12.306656,12.095146,12.04723,11.733707,10.831371,14.168201,0,0,1,1,0,0,1,0
737964.825381944,7.798488,7.67632,7.640271,7.605816,7.568188,7.513858,7.42604,8.259731,12.691025,12.28307,12.276375,12.072414,12.059578,11.739101,10.802036,14.141674,1,0,1,0,1,1,0,1
737964.835798611,7.79720833789085,7.69943328301963,7.66169433031362,7.59678633948676,7.57070600601485,7.50268900747665,7.40991468804608,8.21705733329086,12.6706403238093,12.3425026061718,12.2818236647645,12.0415459932207,12.0483210005633,11.7130483534812,10.7822126609022,14.1324410091396,1,1,1,0,1,1,1,1
737964.846215278,7.800569,7.685082,7.640333,7.613457,7.554106,7.505127,7.407028,8.219883,12.673794,12.334358,12.259346,12.045937,12.04797,11.723591,10.742817,14.108608,1,1,1,1,0,0,1,0
