SDN,Sat_1,Sat_2,Sat_3,Sat_4,Sat_5,Sat_6,Sat_7,Sat_8,TC_1,TC_2,TC_3,TC_4,TC_5,TC_6,TC_7,TC_8,uM_1,uM_2,uM_3,uM_4,uM_5,uM_6,uM_7,uM_8,mgL_1,mgL_2,mgL_3,mgL_4,mgL_5,mgL_6,mgL_7,mgL_8,DeSpike_1,DeSpike_2,DeSpike_3,DeSpike_4,DeSpike_5,DeSpike_6,DeSpike_7,DeSpike_8
737693.390972222,112,82.3,74.8,61.9,61.7,51.3,47.6,38.8,13.8,12.7,13.2,11.7,12,11.3,11.4,10.3,285.37746883766,214.466753435554,192.930988346523,164.699778607414,163.138886736519,137.652223648501,127.454278203728,106.359281068286,8.918603313884,6.70250495142051,6.02947022771806,5.14718978084298,5.09840886107004,4.30190085781926,3.98319514356296,3.3239352793389,0,0,0,0,0,0,0,0
737693.401388889,110.7,82.9,75.4,62.2,60.6,51.4,48.8,38.6,13.7,12.6,13.3,11.7,12,11.3,11.4,10.3,282.636616893676,216.476865955505,194.081716462279,165.498000474655,160.230413877359,137.920551569843,130.667411267687,105.811037351439,8.83294633707344,6.76532489391538,6.06543272899177,5.1721357733188,5.00751340325518,4.31028662947193,4.08361182785446,3.306801592332,0,0,0,0,0,0,0,0
737693.411805556,113.7,82.9,74.6,61.4,62.5,51.7,50.6,38.9,13.7,12.6,13.1,11.5,12,11.3,11.4,10.2,290.296145806784,216.476865955505,192.8092822711,164.058645721498,165.254139724999,138.725535333869,135.487110863626,106.863778939153,9.07232157656052,6.76532489391538,6.02566667513906,5.12715312586718,5.16451464857176,4.33544394442994,4.23423685429172,3.33970182321249,0,0,0,0,0,0,0,0
737693.422222222,110.9,83.6,76.5,62.1,61.3,51,47.2,36.4,13.9,12.6,13.3,11.7,12,11.3,11.3,10.3,282.004240585545,218.304776765744,196.913147339049,165.231926518908,162.081260242279,136.847239884474,126.650778873474,99.7803564661242,8.81318334225716,6.82245067709682,6.15392047437494,5.16382044249353,5.06535596731919,4.27674354286125,3.95808422005983,3.11833103525608,0,0,0,0,0,0,0,0
737693.432638889,112.3,83.5,76.6,62.1,60.9,50.9,47.7,37.7,14.1,12.8,13.5,11.8,12.2,11.4,11.4,10.3,284.415616898809,217.145797013444,196.368862727435,164.885432170005,160.353301916821,136.290394129616,127.722039292391,103.343940625629,8.8885435620604,6.78623029606364,6.13691051713965,5.15299181730123,5.01135389451906,4.2593410253646,3.99156320058725,3.22970000080094,0,0,0,0,0,0,0,0
737693.443055556,112.8,83.3,78.5,60.5,61.1,50.5,48,38.5,14.1,12.8,13.7,11.6,12.2,11.4,11.4,10.2,285.68193754395,216.625687319999,200.424339892986,161.313641206,160.879913745776,135.219349774963,128.525322558381,105.764922600447,8.92811855565817,6.76997585224073,6.26365209991206,5.04136637308581,5.02781154277692,4.22586879726743,4.01666737166013,3.30536041629,0,0,0,0,0,0,0,0
737693.453472222,112.9,82.6,76.1,59.7,60.1,50.9,47.6,36.5,13.9,12.7,13.3,11.7,12.1,11.4,11.5,10.3,287.089979820631,215.248527749413,195.883536111133,158.846151580979,158.576970453318,136.290394129616,127.185529907871,100.054478324548,8.97212262705891,6.72693692572703,6.12174311241742,4.96425250268701,4.95584006667035,4.2593410253646,3.97479623438563,3.12689787875953,0,0,0,0,0,0,0,0
737693.463888889,110.9,82.7,76.3,61,61,51.5,50.3,36.9,13.8,12.7,13.1,11.6,12,11.4,11.6,10.4,282.574654411576,215.509119187367,197.203059481031,162.646811794479,161.288040371599,137.896960661596,134.116961201021,100.933309088106,8.83100988847978,6.73508091716253,6.16298079508191,5.08303055798735,5.04056629700604,4.30954936751035,4.19141700109448,3.15436305669434,0,0,0,0,0,0,0,0
737693.474305556,111.3,82.7,76.3,62,60.5,51.4,49.7,36.5,13.7,12.6,13,11.6,12,11.3,11.6,10.3,284.168522676297,215.954605724008,197.607752514911,165.313152971438,159.966007253799,137.920551569843,132.517156494846,100.054478324548,8.88082138497085,6.74900324157783,6.17562824285614,5.16635892779042,4.99925017981747,4.31028662947193,4.14141997921264,3.12689787875953,0,0,0,0,0,0,0,0
737693.484722222,111.4,82.6,77.3,59.9,60.4,50.8,49.3,38,13.8,12.6,13.5,11.7,12.1,11.4,11.5,10.4,283.848660968887,215.693475608259,198.163356251053,159.378299492473,159.368536029624,136.022633040953,131.727870261724,103.942161120542,8.87082508184533,6.74084241540906,6.19299194484197,4.98088316433756,4.98057803705306,4.2509729683403,4.11675324275654,3.24839555973943,0,0,0,0,0,0,0,0
