SDN,Sat_1,Sat_2,Sat_3,Sat_4,Sat_5,Sat_6,Sat_7,Sat_8,TC_1,TC_2,TC_3,TC_4,TC_5,TC_6,TC_7,TC_8,uM_1,uM_2,uM_3,uM_4,uM_5,uM_6,uM_7,uM_8,mgL_1,mgL_2,mgL_3,mgL_4,mgL_5,mgL_6,mgL_7,mgL_8,DeSpike_1,DeSpike_2,DeSpike_3,DeSpike_4,DeSpike_5,DeSpike_6,DeSpike_7,DeSpike_8
737962.6688,93.9,92.1,NaN,66.1,62.5,52.2,50.1,25.4,17.5,13.2,NaN,11.1,11.6,10.4,11.2,9.4,222.5423394,237.5527276,NaN,178.1185733,166.6463236,142.7837055,134.7173977,71.00285275,6.954882787,7.423986738,NaN,5.566553324,5.208023113,4.46226969,4.210181814,2.218977835,0,0,1,0,1,1,1,1
737962.6792,94,91.6,NaN,66.7,61.6,54.5,52.1,27.1,17.5,13.2,NaN,11,12,10.6,11.3,9.5,222.7793387,236.263082,NaN,180.1179817,162.8744801,148.4358478,139.798847,75.58925275,6.962289478,7.383682792,NaN,5.629038744,5.090145638,4.638910174,4.368987031,2.362311793,0,0,1,0,0,0,0,1
737962.6896,94,91.9,NaN,68.3,61.3,54.3,52.7,27.2,17.4,13.3,NaN,11.3,11.8,10.7,11.4,9.9,223.2022181,236.5531796,NaN,183.2679703,162.7613042,147.5746584,141.1100937,75.20939158,6.975505286,7.39274891,NaN,5.727482039,5.08660867,4.611996324,4.409966052,2.350440389,0,0,1,0,0,0,0,0
737962.7,93.8,92.2,NaN,65.8,59.8,54,51.7,27.2,17.3,13.3,NaN,11.3,11.7,10.8,11.4,10,223.1508319,237.325388,NaN,176.5597722,159.1122255,146.4458596,138.4324828,75.04635057,6.973899365,7.416881931,NaN,5.517837747,4.972567834,4.576719158,4.326285482,2.345345039,0,0,1,0,0,0,0,0
737962.7104,94.7,91.9,NaN,65.9,61.2,54.1,50.4,27.1,17.3,13.3,NaN,11.3,12.1,10.8,11.4,10,225.2919379,236.5531796,NaN,176.8281002,161.4793776,146.7170557,134.9515887,74.77044487,7.040813112,7.39274891,NaN,5.526223519,5.046545958,4.585194564,4.21750074,2.336722447,0,0,1,0,1,0,0,0
737962.7208,94.7,91.7,NaN,63.9,63.8,53.7,51.7,26.9,17.2,13.3,NaN,11.3,11.9,10.8,11.5,10.1,225.7210686,236.038374,NaN,171.4615417,169.0446206,145.6322715,138.1405861,74.05803881,7.054224284,7.376660229,NaN,5.358508086,5.282974578,4.551292941,4.317163137,2.314458367,0,0,1,0,0,0,0,0
737962.7313,95.1,91.7,NaN,63.7,61.2,54.3,50.6,26.9,17.2,13.4,NaN,11.4,12.5,10.9,11.3,10,226.6744839,235.5575907,NaN,170.5638135,160.1425854,146.9454904,135.7739282,74.21863347,7.084020374,7.361634813,NaN,5.330452324,5.004768591,4.592333596,4.243200456,2.319477263,0,0,1,0,0,0,0,0
737962.7417,95,92.1,NaN,64.5,62.1,53.6,51,26.7,17.2,13.3,NaN,11.3,12.2,10.9,11.7,10,226.4361301,237.0679852,NaN,173.0715093,163.5129729,145.0511655,135.6977174,73.66682207,7.076571351,7.408837591,NaN,5.408822716,5.110099784,4.533132242,4.240818721,2.302232079,0,0,1,0,0,0,0,0
737962.7521,95.2,91.9,NaN,64.6,62.1,53.7,50.8,27,17.2,13.4,NaN,11.3,11.9,10.9,11.4,10,226.9128377,236.0713477,NaN,173.3398372,164.5402968,145.3217833,136.022633,74.49453917,7.091469396,7.377690723,NaN,5.417208488,5.142205663,4.541589579,4.250972968,2.328099855,0,0,1,0,0,0,0,0
737962.7625,94.8,92.5,NaN,65.2,73.2,54.2,50.9,27.5,17.3,13.3,NaN,11.3,12.9,10.9,11.5,9.9,225.5298386,238.0975965,NaN,174.9498047,189.9688823,146.6748726,136.0030141,76.03890692,7.048247972,7.441014953,NaN,5.467523118,5.93689863,4.58387626,4.250359839,2.376364364,0,0,1,0,1,0,0,0
737962.7729,95,92.3,NaN,65.7,66.8,54.8,52,27.9,17.3,13.4,NaN,11.3,12.8,10.9,11.5,10.1,226.00564,237.0988618,NaN,176.2914443,173.7166376,148.2985796,138.9421755,76.81112576,7.063117694,7.409802543,NaN,5.509451976,5.428984237,4.634620278,4.342214374,2.400497711,0,0,1,0,0,0,0,0
